coin,type,price,qty,timestamp,amount,temp,qtyS,coin_sell,type_sell,price_sell,qty_sell,timestamp_sell,amount_sell,temp_sell,sellPrice,percent_diff,percentSignal,sellSignal
FTM,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35,5,,1.6269782,,,,,,,,2.84819,-0.06384985784482897,False,False
LUNA,SGD Buy Instant Order,86.229,0.05740528,2022-01-26 20:33:55,5,,0.0574052,,,,,,,,71.6087,-0.1695520068654397,False,False
MKR,SGD Buy Instant Order,2445.34,0.00202425,2022-01-26 20:31:30,5,,0.0020242000000000003,,,,,,,,2918.23,0.19338415107919546,True,True
ENJ,SGD Buy Instant Order,2.0211900000000003,2.44905229,2022-01-25 20:52:20,5,,2.4490522,,,,,,,,2.47622,0.2251297502956178,True,True
EGLD,SGD Buy Instant Order,188.96099999999998,0.02619588,2022-01-23 18:59:42,5,,0.026195799999999998,,,,,,,,199.242,0.054408052455268585,True,True
AAVE,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57,5,,0.0243745,,,,,,,,220.706,0.08678803039181411,True,True
SNX,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37,5,,0.9427619,SNX,SGD Sell Instant Order,5.61313,0.94276196,2022-01-26 01:32:47,5.23,5.23,,,,
ETH,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03,5,,0.0014977999999999999,,,,,,,,3708.68,0.12220332726139387,True,True
BTC,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47,5,,0.0001036,,,51321.45,0.00010368,2022-02-01 00:47:30.910315,,,51321.45,0.07495527604436,,
OMG,SGD Buy Instant Order,5.84567,0.8467806,2022-01-23 10:04:11,5,,0.84678,,,,,,,,6.68312,0.14325988295610248,True,True
LUNA,SGD Buy Instant Order,89.5557,0.05527286,2022-01-23 10:03:40,5,,0.055272800000000004,,,,,,,,71.6087,-0.20040042119038767,False,False
LRC,SGD Buy Instant Order,1.03235,4.79488545,2022-01-23 10:03:19,5,,4.794885400000001,LRC,SGD Sell Instant Order,1.38749,4.79488545,2022-01-26 17:53:14,6.58,6.58,,,,
YFI,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15,5,,0.0001543,,,,,,,,33546.47,0.045782993560977515,True,True
FTM,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57,5,,1.7513134,FTM,SGD Sell Instant Order,3.1388599999999998,1.75131349,2022-01-25 19:39:24,5.44,5.44,,,,
AAVE,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29,5,,0.0158928,,,,,,,,220.706,-0.2913847961703071,False,False
