,coin,type,price,qty,timestamp,amount,temp,qty1Cum,qty2Cum,qty3Cum,qty4Cum,qty5Cum,coin_sell,type_sell,price_sell,qty_sell,timestamp_sell,amount_sell,temp_sell,qtyS
0,1INCH ,SGD Buy Instant Order,4.96591,0.99679615,2021-12-01 00:25:48,5,,0.996796,n,n,n,n,1INCH ,SGD Sell Instant Order,5.55308,0.99679615,2021-12-01 21:23:59,5.47,5.47,0.996796
1,AAVE ,SGD Buy Instant Order,323.464,0.01530309,2021-11-29 20:53:10,5,,0.015303,n,n,n,n,AAVE ,SGD Sell Instant Order,339.12,0.01530309,2021-11-30 07:02:18,5.13,5.13,0.015303
2,AAVE ,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29,5,,0.015892,0.0311959299999999,n,n,n,,,,,,,,
3,AAVE ,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57,5,,0.0243745099999999,0.040267,0.055570,n,n,,,,,,,,
4,ATOM ,SGD Buy Instant Order,49.4417,0.10082582,2021-11-08 19:42:49,5,,0.100825,n,n,n,n,,,,,,,,
5,AVAX ,SGD Buy Instant Order,152.462,0.0324671,2021-12-29 01:00:02,5,,0.03246,n,n,n,n,,,,,,,,
6,AXS ,SGD Buy Instant Order,207.983,0.02380002,2021-11-04 19:34:07,5,,0.023800,n,n,n,n,,,,,,,,
7,BAND ,SGD Buy Instant Order,7.29381,0.67865765,2021-12-12 22:48:28,5,,0.678657,n,n,n,n,BAND ,SGD Sell Instant Order,7.65317,0.67865765,2021-12-24 03:20:33,5.14,5.14,0.678657
8,BAT ,SGD Buy Instant Order,1.47139,3.36416585,2021-12-11 10:16:09,5,,3.364165,n,n,n,n,BAT ,SGD Sell Instant Order,1.55587,3.36416585,2021-12-12 22:08:05,5.18,5.18,3.364165
9,BCH ,SGD Buy Instant Order,811.325,0.00610113,2021-11-17 20:37:59,5,,0.006101,n,n,n,n,BCH ,SGD Sell Instant Order,842.734,0.00610113,2021-11-25 08:05:37,5.1,5.1,0.006101
10,BTC ,SGD Buy Instant Order,63575.24,7.786e-05,2021-12-29 21:16:39,5,,7.786e-,n,n,n,n,,,,,,,,
11,BTC ,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47,5,,0.000103,0.000181,n,n,n,,,,,,,,
12,CHZ ,SGD Buy Instant Order,0.57908,8.54804172,2021-11-28 17:21:33,5,,8.548041,n,n,n,n,CHZ ,SGD Sell Instant Order,0.62487,8.54804172,2021-11-29 18:19:19,5.28,5.28,8.548041
13,CHZ ,SGD Buy Instant Order,0.57961,8.54022532,2021-12-02 14:32:28,5,,8.5402253199999,17.0882670399999,n,n,n,,,,,,,,
14,CLV ,SGD Buy Instant Order,1.50974,3.27871024,2021-12-01 21:54:13,5,,3.278710,n,n,n,n,,,,,,,,
15,DAI ,SGD Buy Instant Order,1.36304,3.63158821,2021-12-24 16:40:07,5,,3.631588,n,n,n,n,,,,,,,,
16,DOT ,SGD Buy Instant Order,48.6245,0.10180053,2021-12-02 14:36:49,5,,0.101800,n,n,n,n,,,,,,,,
17,DOT ,SGD Buy Instant Order,44.437,0.11139365,2021-12-04 11:29:25,5,,0.111393650000000,0.213194,n,n,n,,,,,,,,
18,DOT ,SGD Buy Instant Order,40.1221,0.1233734,2021-12-04 23:25:30,5,,0.123373400000000,0.234767049999999,0.336567,n,n,,,,,,,,
19,DOT ,SGD Buy Instant Order,36.3307,0.1362484,2021-12-06 21:29:54,5,,0.136248400000000,0.259621799999999,0.371015449999999,0.472815979999999,n,,,,,,,,
20,DYDX ,SGD Buy Instant Order,16.9711,0.29167231,2021-11-29 20:09:58,5,,0.291672,n,n,n,n,DYDX ,SGD Sell Instant Order,17.5071,0.29167231,2021-11-30 22:49:22,5.05,5.05,0.291672
21,EGLD ,SGD Buy Instant Order,439.853,0.01125375,2021-11-05 18:38:48,5,,0.011253,n,n,n,n,EGLD ,SGD Sell Instant Order,457.15,0.01125375,2021-11-19 21:16:03,5.1,5.1,0.011253
22,EGLD ,SGD Buy Instant Order,537.737,0.00920524,2021-12-01 00:27:03,5,,0.009205,0.020458,n,n,n,,,,,,,,
23,EGLD ,SGD Buy Instant Order,506.506,0.00977283,2021-12-02 14:33:18,5,,0.009772,0.018978,0.030231,n,n,,,,,,,,
24,EGLD ,SGD Buy Instant Order,479.922,0.01031417,2021-12-03 15:23:47,5,,0.0103141700000000,0.0200869999999999,0.0292922399999999,0.040545,n,,,,,,,,
25,EGLD ,SGD Buy Instant Order,455.214,0.010874,2021-12-04 00:06:14,5,,0.0108,0.0211881699999999,0.0309,0.040166,0.051419,,,,,,,,
26,EGLD ,SGD Buy Instant Order,374.593,0.01321434,2021-12-06 21:28:34,5,,0.013214,0.024088,0.034402,0.0441753399999999,0.0533805800000000,,,,,,,,
27,EGLD ,SGD Buy Instant Order,188.961,0.02619588,2022-01-23 18:59:42,5,,0.0261958800000000,0.039410,0.0502842200000000,0.060598,0.070371,,,,,,,,
28,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,,1.263006,n,n,n,n,ENJ ,SGD Sell Instant Order,4.19014,1.26300641,2021-11-04 18:40:10,5.23,5.23,1.263006
29,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,,1.263006,2.526012,n,n,n,ENJ ,SGD Sell Instant Order,4.19014,1.26300641,2021-11-04 18:40:10,5.23,5.23,1.263006
30,ENJ ,SGD Buy Instant Order,4.34526,1.14722709,2021-11-08 19:40:30,5,,1.147227,2.41023,3.673239,n,n,,,,,,,,
31,ENJ ,SGD Buy Instant Order,4.18177,1.19207895,2021-11-09 22:02:36,5,,1.192078,2.339306,3.60231245000000,4.865318,n,,,,,,,,
32,ENJ ,SGD Buy Instant Order,4.8849,1.01332678,2021-12-01 00:28:28,5,,1.01332677999999,2.20540573000000,3.352632,4.615639,5.878645,,,,,,,,
33,ENJ ,SGD Buy Instant Order,4.72678,1.04722453,2021-12-02 08:26:57,5,,1.047224,2.060551,3.25263026000000,4.39985735000000,5.66286376000000,,,,,,,,
34,ENJ ,SGD Buy Instant Order,4.10122,1.20695792,2021-12-04 09:08:15,5,,1.206957,2.254182,3.2675092300000,4.4595881800000,5.606815,,,,,,,,
